,county_name,2018_avg_time_per_bribe_demand,2017_avg_time_per_bribe_demand,2016_avg_time_per_bribe_demand,2015_avg_time_per_bribe_demand,2018_avg_bribe,2017_avg_bribe,2016_avg_bribe,2015_avg_bribe,2018_avg_time_bribe_paid,2017_avg_time_bribe_paid,2016_avg_time_bribe_paid,2015_avg_time_bribe_paid,total_population19,total_gcp
0,tanariver,3.65,2.48,1.69,0.0,1136.39,2397.01,1059.6,0.0,3.76,1.72,1.34,0.0,315943,33498
1,migori,2.03,1.51,1.0,1.0,3311.01,1014.57,1207.85,20000.0,1.83,1.26,1.0,1.0,1116436,96337
2,kilifi,1.83,1.59,1.84,1.0,5941.52,1574.12,361.27,2969.0,2.17,1.43,1.3,1.0,1453787,119295
3,kisii,1.69,1.33,1.0,2.41,3343.89,2894.93,674.19,6520.0,1.79,1.16,1.0,2.43,1266860,163546
4,laikipia,1.5,1.53,1.54,2.17,1713.06,3295.34,2324.55,20367.0,1.67,2.11,1.0,1.0,518580,81095
5,wajir,1.49,1.58,0.0,2.33,14354.85,6235.77,0.0,5850.0,1.97,1.57,0.0,1.5,781263,37159
6,mandera,1.48,3.27,2.29,1.0,3760.59,35440.09,6972.88,80000.0,1.52,3.39,1.59,1.0,867457,35101
7,lamu,1.43,1.0,2.0,1.0,5966.79,1152.81,13072.71,30025.0,1.97,1.0,1.0,1.0,143920,32386
8,westpokot,1.42,1.57,1.0,1.5,1406.97,5157.3,6522.99,1367.0,1.23,1.13,1.0,1.0,621241,46785
9,garissa,1.41,1.52,1.12,1.77,8731.92,1950.6,6981.43,51990.0,1.67,1.75,1.0,1.7,841353,39394
10,kirinyaga,1.35,3.07,1.3,1.29,3171.81,3678.19,877.31,4650.0,1.41,0.88,1.3,1.0,610411,100836
11,baringo,1.33,1.0,2.38,1.35,662.18,3115.07,3439.37,46307.0,1.09,1.0,1.0,1.36,666763,92866
12,transnzoia,1.32,1.36,1.2,1.06,1547.61,3544.35,3270.61,2148.0,1.47,1.36,1.15,1.06,990341,116683
13,mombasa,1.31,1.61,1.0,1.41,9257.0,2389.32,3896.44,4032.0,1.43,1.37,1.0,1.35,1208333,332122
14,elgeyomarakwet,1.31,1.25,2.81,1.0,1075.08,585.71,6145.61,1200.0,1.31,1.25,1.76,1.0,454480,159531
15,turkana,1.3,5.53,1.09,0.0,1667.69,6791.93,228.97,0.0,1.3,5.53,1.09,0.0,926976,78301
16,embu,1.29,1.64,1.86,2.53,757.79,5782.0,3286.79,1198.0,1.29,1.03,1.12,2.53,608599,103734
17,vihiga,1.29,1.21,1.57,1.25,2998.51,1362.89,4820.2,1925.0,1.74,1.24,1.31,1.0,590013,59050
18,kakamega,1.27,1.03,1.51,1.12,4587.88,2695.33,5575.17,567.0,1.3,1.0,1.44,1.0,1867579,182563
19,kajiado,1.22,1.44,2.97,1.0,1877.99,2087.38,2368.38,5569.0,1.31,1.31,2.34,1.06,1117840,107805
20,murang'a,1.2,2.95,2.36,3.78,3683.38,9297.65,2634.95,2846.0,1.39,2.79,1.0,1.44,1056640,173018
21,meru,1.19,2.85,3.63,1.21,2158.73,2005.64,1863.17,6639.0,1.2,1.29,1.29,1.21,1545714,229646
22,kiambu,1.18,1.82,2.77,1.28,3213.29,2155.67,4161.5,2932.0,1.28,1.74,1.71,1.66,2417735,421918
23,nairobi,1.18,1.44,1.7,1.51,4245.42,8916.1,15360.18,7436.0,1.24,1.23,1.51,1.31,4397073,1492323
24,nyandarua,1.16,1.74,2.28,1.71,1445.03,3587.89,1469.04,3809.0,1.39,1.63,1.25,1.0,638289,245203
25,nandi,1.14,1.04,1.26,1.0,4399.48,2647.78,1257.09,7000.0,1.07,0.96,1.08,1.0,885711,119691
26,kisumu,1.13,1.26,1.57,1.0,838.73,26762.03,2511.31,3814.0,1.26,1.1,1.52,1.0,1155574,194489
27,nyeri,1.13,1.0,1.8,1.82,2914.75,1572.31,2051.69,1725.0,1.42,1.0,1.8,1.0,759164,174961
28,homabay,1.11,1.57,1.19,1.58,708.74,4664.65,5533.18,1654.0,1.22,1.57,1.0,1.5,1131950,114198
29,kericho,1.11,1.08,1.0,1.21,11265.32,508.86,3032.33,133.0,1.11,1.48,1.0,1.0,901777,136799
30,tharakanithi,1.1,1.63,1.0,1.7,1352.88,1026.07,40906.93,914.0,1.19,1.1,1.0,1.0,393177,67692
31,taitataveta,1.1,1.18,1.14,1.27,1692.36,1076.3,2647.17,3167.0,1.0,1.31,1.14,1.27,340671,51381
32,kitui,1.09,1.75,2.09,1.0,11640.15,4101.4,1118.32,617.0,1.06,1.0,1.0,1.0,1136187,101560
33,bungoma,1.08,1.04,1.46,1.19,1774.0,1518.71,1731.01,1850.0,1.15,1.0,1.13,1.19,1670570,183509
34,kwale,1.06,2.11,1.0,1.93,1420.51,4092.38,2947.51,3350.0,1.09,1.68,1.0,1.93,866820,86278
35,nakuru,1.03,1.54,1.22,1.25,4354.27,5247.94,3998.86,5387.0,1.03,1.36,1.09,1.11,2162202,517462
36,siaya,1.03,1.24,1.58,1.04,2633.51,1367.45,6032.78,550.0,1.07,1.13,1.4,1.04,993183,95265
37,makueni,1.02,1.32,1.0,1.05,1188.17,2228.82,1502.11,4609.0,1.02,1.19,1.0,1.05,987653,100924
38,uasingishu,1.0,2.22,1.41,1.0,2694.7,6744.7,7010.84,5422.0,1.03,2.19,1.02,1.0,1163186,162273
39,samburu,1.0,1.87,1.0,1.0,474.94,1717.81,1491.39,4100.0,1.0,1.05,1.0,1.0,310327,26503
40,marsabit,1.0,1.73,2.07,1.49,7741.28,7859.57,7205.96,1238.0,1.0,1.0,1.65,1.15,459785,34073
41,machakos,1.0,1.54,1.15,1.0,2513.74,980.25,3540.19,500.0,1.0,1.19,1.04,1.0,1421932,232860
42,nyamira,1.0,1.47,1.06,1.62,1034.94,10967.51,7908.74,1104.0,1.0,1.18,1.06,1.39,605576,103239
43,narok,1.0,1.26,1.0,2.02,1420.29,1451.04,1332.16,6966.0,1.0,1.12,1.0,1.5,1157873,179226
44,isiolo,1.0,1.15,1.0,1.0,517.27,3000.0,7950.51,200.0,1.0,1.0,1.0,1.0,268002,15850
45,bomet,1.0,1.11,1.15,2.46,405.18,535.59,503.02,3942.0,1.0,1.0,1.0,2.24,875689,159569
46,busia,1.0,1.04,2.14,1.0,1778.13,18866.61,81559.87,2860.0,1.08,1.0,1.68,1.0,893681,86712
